Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched
Start,0,Maid,normal,右,1,好。看来您已经掌握了战斗的窍门。,CG-maid&heart,
#,1,Heart,ding,左,2,……,CG-maid&heart,
#,2,Maid,yansu3,右,3,主人，您在看什么？,CG-maid&heart,
#,3,Heart,sad,左,4,今夜的天空，怎么红得如鲜血一般……,CG-maid&heart,
#,4,Maid,biyan,右,5,您今天辛苦了。夜已深，该休息了。明天就是大选的日子。,CG-maid&heart,
#,5,Heart,sad,左,6,……,CG-maid&heart,
#,6,Maid,yansu,右,7,还请您、不要太过悲伤，大选前夕……皇室发生这样的意外，这是POKER最大的不幸。,CG-maid&heart,
#,7,Heart,jingyal,左,8,……意外？说得真轻巧。在这样重要的日子里朝她下手——阴谋，这背后一定有一个可怖的阴谋。,,
#,8,Heart,chouchang,左,9,前日早晨离开时，她说这只是一次例行探查，等她从城堡深处回来，来听我未完成的曲子。你知道的，我们都知道。,,
#,9,Heart,jingyal,左,10,姐姐，她可是姐姐——她敏锐、机智，她有充分的自保能力——是谁可以伤害到她？又为什么要去伤害她？,,
#,10,Maid,yansu3,右,11,……主人？,,
#,11,Heart,sad,左,12,姐姐……平日里高贵优雅的姐姐……即便漂浮在圣育池里，也依然保持着安详的神色……,,
#,12,Heart,sad,左,13,她的手交叠着，再也不能动弹——四周的墙越来越远，带着她逐渐离岸而去，直到永远停泊在我的脑海中央……,,
#,13,Heart,ding,左,14,……Maid，你说，凶手究竟是谁？,,
#,14,Heart,ding,左,15,（继续说）城堡地形复杂，大小房间众多。要想走进圣育池且不惊扰他人——凶手定是宫内之人！,,
#,15,Heart,bianren,左,16,只有与宫中众人和建筑都相熟悉的角色，才能做到这一点。他会留下蛛丝马迹吗？会的，一定会的，这个世界上不会有纯粹完美的犯罪。,,
#,16,Heart,ding,左,17,这时候，我去发现它们，我去找到它们——,,
#,17,Maid,yansu,右,18,……主人，我不建议您擅自行动。,,
#,18,Heart,ding,左,19,我知道……但是那凶手，砍下她的头，却又把她放进池里，保全了她的躯体。,,
#,19,Heart,ding,左,20,如果头颅同样被保留着，如果头颅与身体连接的碎片散落在城堡里——,,
#,20,Heart,sad,左,21,姐姐说过，我们POKER国人的身体拥有修复机制，尤其是皇室人员，只要心脏未受破坏，只要碎片仍存，就有缝补的可能。,,
#,21,Heart,ding,左,22,说不定她还没有死，说不定她还能指引我找到凶手！,,
#,22,Maid,yansu2,右,23,就算POKER国人不会因为肢体分离而彻底死亡，但您也知道，Spade殿下早就发现城堡一直在生长，办公地点与休息场所都经常失去联系，建国以来从未停止，危机重重。,,
#,23,Heart,ding,左,24,不、不必说服我放弃。就为目前已然存在的这一分希望，我要去找她，还有那位也许你我都熟悉的凶手。哪怕我最终找到的，是她确切的死讯，我也在所……,,
#,24,Maid,yansu3,右,25,……主人，恕我冒昧打断您，,,
#,25,Maid,yansu2,右,26,我并非不信任您，自殿下命令我侍奉您以来，十六年里，我充分了解她的为人，也当然知晓您的智慧。,,
#,26,Maid,yansu2,右,27,但这件事过于蹊跷复杂，同时涉及王位选举，您不该意气用事。,,
#,27,Maid,yansu,右,28,事实上，我发现尸体的时间早于您，我对案件的了解程度，也多于您。,,
#,28,Heart,biyan,左,29,……（沉默）,,
#,29,Heart,fans,左,30,我知道了。,,
#,30,Maid,yansu3,右,31,我一直在思考，如何把我所知道的一切，准确而清晰地传达给您。,,
#,31,Maid,yansu3,右,32,无论是过去还是现在，我都仍然遵循殿下的指令：优先保护好您，一直到您有自保的能力。,,
#,32,Heart,fans,左,33,你能帮助我什么？,,
#,33,Maid,normal,右,34,为您积累经验，为您找寻趁手的武器，带您探明方向——以免您陷入危险之中。,,
#,34,Heart,biyan,左,35,……那么请告诉我来龙去脉吧，告诉我你知道的，或者你想让我知道的一切。,,
#,35,Maid,biyan,右,36,……早餐时分，我应施洗官Birth之约，来到圣育池，发现许多侍仆聚集于池旁。,,
#,36,Maid,yansu,右,37,殿下的身体漂浮其中，而她的头——不见踪影，从脖颈半位被截断，切口处的皮肤溃烂开洞，好在浸在圣水里，延缓了这一过程。,,
#,37,Maid,yansu2,右,38,神秘的是，没有人敢有所动作。大家都震惊无比，默不作声，久久滞留在那里，反复确认尸体的衣着、体态，试图找出那是别人、或者恶作剧的可能。,,
#,38,Heart,sad,左,39,……,,
#,39,Maid,yansu,右,40,而他们越看越沉默。,,
#,40,Maid,yansu3,右,41,整个上午时分，我四处奔走，告诉了整个皇宫这一噩耗，最后才敢带您，我的主人，来到圣育池。,,
#,41,Heart,chouchang,左,42,……是的。但我……今天还发生了别的什么吗？,,
#,42,Maid,yansu3,右,43,您见到尸体后，在圣育池晕倒了……对不起，我们擅自将她转移到了盛满水的棺材里，为了保存的时间更长一些；随后，我们将您抬回了房间。别的事情，我便不清楚了。,,
#,43,Heart,chouchang,左,44,（她说的是事实，还是在欺骗我？我只记得我一路走来，我只记得看见的物品，撤下的挂毯，默哀中无数复杂的视线，充满畏惧、好奇、愤怒的眼睛，一直环绕着我。,,
#,44,Heart,sad,左,45,我的实体仿佛不复存在，只是看着，看着你，Maid，你的背影突然定格、僵硬地侧身让出姐姐的半截衣裙。姐姐打湿的头发缠绕在手臂上，那双再也不会牵住我的手，上面布满伤痕……）,,
#,45,Maid,yansu2,右,46,（突然）您想听听我的看法吗，主人？,,
#,46,Heart,ding,左,47,……说吧。,,
#,47,Maid,yansu2,右,48,据首要现场目击者所言，殿下的尸体于天刚亮时被发现。由此，我猜测：凶手极有可能昨晚在别的地方实施了暴行，再悄悄将她转移到池中。,,
#,48,Maid,yansu3,右,49,明天，就是确认新任国王的日子，主人。POKER不能再容许任何闪失了。,,
#,49,Heart,bianren,左,50,（有一团即将溢出的言语消散了——还有什么没被说出口？不，她明明什么也没有说清楚。我必须自己有一个判断。）,,
#,50,Heart,bianren,左,51,凶手……究竟是谁？,,
@,51,,,,54,Maid,,
@,52,,,,56,王室成员,,
@,53,,,,58,另有他人,,
#,54,Heart,fans,左,55,就算她已身首异处？我希望你的忠诚不必审阅，一如既往。我也懒得细究你闪烁的语句，,,
#,55,Heart,ding,左,60,但我很难再漠视习以为常的一切了。,,
#,56,Heart,fans,左,57,就算她已身首异处？我希望兄弟姐妹的情谊牢不可破，如第十二任王嗣般相待，,,
#,57,Heart,ding,左,60,但我很难信任如今四分五裂的关系。,,
#,58,Heart,fans,左,59,就算她已身首异处？我希望城堡里的阴谋诡计向我、向子民们完全展开，,,
#,59,Heart,ding,左,60,但我必须沿着姐姐的脚印继续探查。,,
#,60,Heart,normal,左,61,你依然在觉得我弱小，Maid。,,
#,61,Heart,normal,左,62,你所告诉我的，不过是人人都能知道的表象。你并不信任我。,,
#,62,Heart,ding,左,63,但此时此刻，我无法再像以前一样沉溺于自己的天地之中，我不需要你的保护，请给我应有的帮助——,,
#,63,Heart,normal,左,64,Maid，我命令你，别再向我隐瞒任何事了，你不许阻拦我，谁都不许阻拦我。,,
#,64,Maid,biyan,右,65,是吗……，,,
#,65,Maid,normal,右,66,……很高兴您会有如此觉悟，主人。,CG-maidhandsword,
